publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_database_size
1,3,1,0,0,6,1.992528611530988
1,3,1,0,0,7,1.992528611530988
1,3,1,0,0,8,1.992528611530988
1,3,1,0,0,9,1.992528611530988
1,3,1,0,0,10,1.992528611530988
1,3,1,0,1,1,2.4623537033038225
1,3,1,0,1,2,2.4623537033038225
1,3,1,0,1,3,2.4623537033038225
1,3,1,0,1,4,2.4623537033038225
1,3,1,0,1,5,2.4623537033038225
1,3,1,0,1,6,2.4623537033038225
1,3,1,0,1,7,2.4623537033038225
1,3,1,0,1,8,2.4623537033038225
1,3,1,0,1,9,2.4623537033038225
1,3,1,0,1,10,2.4623537033038225
1,3,1,0,2,1,2.116527747786655
1,3,1,0,2,2,2.116527747786655
1,3,1,0,2,3,2.116527747786655
1,3,1,0,2,4,2.116527747786655
1,3,1,0,2,5,2.116527747786655
1,3,1,0,2,6,2.116527747786655
1,3,1,0,2,7,2.116527747786655
1,3,1,0,2,8,2.116527747786655
1,3,1,0,2,9,2.116527747786655
1,3,1,0,2,10,2.116527747786655
1,3,2,1,0,1,3.5051090477218754
1,3,2,1,0,2,3.5051090477218754
1,3,2,1,0,3,3.5051090477218754
1,3,2,1,0,4,3.5051090477218754
1,3,2,1,0,5,3.5051090477218754
1,3,2,1,0,6,3.5051090477218754
1,3,2,1,0,7,3.5051090477218754
1,3,2,1,0,8,3.5051090477218754
1,3,2,1,0,9,3.5051090477218754
1,3,2,1,0,10,3.5051090477218754
1,3,2,1,1,1,3.8522997192830895
1,3,2,1,1,2,3.8522997192830895
1,3,2,1,1,3,3.8522997192830895
1,3,2,1,1,4,3.8522997192830895
1,3,2,1,1,5,3.8522997192830895
1,3,2,1,1,6,3.8522997192830895
1,3,2,1,1,7,3.8522997192830895
